Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1990,NYJ,DC,28,17,6,20,22,16,19,4,10,4,9,4,7,17,21,24,4,21,23,17,21,12,19,18,28,20,23,24,22,12,19
1991,NYJ,DC,28,14,4,13,9,6,11,6,2,5,6,8,7,12,12,25,4,17,12,10,7,3,4,5,10,4,25,24,21,11,18
1992,NYJ,DC,28,25,14,25,18,20,25,24,17,12,21,13,16,10,22,27,24,23,16,18,3,18,19,16,20,5,11,13,13,8,17
1993,NYJ,DC,28,14,7,12,6,9,21,8,3,9,3,20,18,21,10,20,6,5,8,6,5,9,5,9,4,3,11,17,6,9,21
1994,NYJ,HC,28,22,5,21,25,22,25,12,22,16,22,13,6,14,20,18,16,23,22,14,2,19,21,26,22,2,9,18,8,13,21
1995,SFO,DC,30,3,5,1,1,2,1,10,18,23,3,25,9,2,1,4,13,5,1,2,9,1,1,1,1,27,27,11,10,1,3
1996,SFO,DC,30,3,6,3,4,6,3,2,17,10,4,11,3,11,7,8,10,8,7,4,10,7,5,1,6,7,23,11,13,12,6
1997,NWE,HC,30,8,4,5,14,15,8,7,28,26,28,22,2,15,7,2,14,6,19,8,6,10,5,22,7,13,30,23,4,7,7
1998,NWE,HC,30,11,9,14,15,11,11,8,26,27,22,23,5,5,5,12,17,10,20,14,11,13,7,4,4,23,27,25,24,2,20
1999,NWE,HC,31,12,15,16,12,18,20,19,18,23,20,26,16,15,10,19,24,10,8,7,14,27,21,2,8,7,9,7,21,17,5
2010,SEA,HC,32,17,27,28,30,28,23,21,29,31,12,29,17,14,19,28,23,27,27,25,25,25,21,18,15,17,28,27,29,25,25
2011,SEA,HC,32,21,5,18,23,28,23,11,15,21,10,25,16,25,22,28,12,26,9,7,5,25,15,6,4,19,19,11,6,4,12
2012,SEA,HC,32,6,5,3,7,17,9,7,1,3,9,5,9,32,27,8,5,7,4,1,5,2,10,5,23,7,19,6,2,8,5
2013,SEA,HC,32,1,1,2,3,17,8,4,2,4,13,12,16,31,26,10,3,6,1,1,1,10,7,1,7,11,7,1,2,1,1
2014,SEA,HC,32,1,4,2,1,9,10,3,2,1,1,1,6,32,27,22,3,14,1,1,20,4,3,5,2,10,1,1,2,18,3
2015,SEA,HC,32,8,5,4,1,4,4,3,3,3,18,7,7,28,20,6,3,5,2,1,16,2,1,10,4,16,11,2,1,13,5
2016,SEA,HC,32,8,16,6,5,12,18,11,20,25,16,24,5,18,10,18,14,9,5,3,22,25,7,22,1,19,5,8,3,21,15
2017,SEA,HC,32,11,8,13,13,15,11,7,21,23,31,21,5,16,14,2,11,15,11,13,9,23,19,22,14,7,17,6,7,13,6
2018,SEA,HC,32,8,1,10,19,18,6,1,2,1,11,5,1,32,27,5,2,15,16,11,10,5,13,4,30,1,17,17,14,18,17
2019,SEA,HC,32,7,3,14,17,8,9,13,3,4,15,10,28,23,14,4,3,12,26,22,3,7,22,30,28,2,26,27,5,5,24
2020,SEA,HC,32,4,10,9,19,17,8,9,17,12,19,6,2,17,16,3,17,19,22,15,10,7,5,22,5,15,32,31,9,12,15
2021,SEA,HC,32,22,10,14,27,20,16,1,27,11,9,3,4,31,23,10,1,14,28,11,25,27,17,18,2,20,31,31,7,22,24
2022,SEA,HC,32,11,12,12,20,13,9,17,22,18,22,7,24,15,11,4,10,10,26,25,9,30,30,27,26,5,10,13,14,12,15
2023,SEA,HC,32,13,12,22,28,21,17,5,31,28,20,16,2,17,14,20,13,11,30,25,22,29,31,30,27,23,21,21,10,19,22
