,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1977,KAN,HC,28,27,14,27,27,16,17,26,26,20,13,9,25,9,12,20,24,19,28,27,5,28,28,28,28,2,10,14,18,11,21
1,,KAN,DC,28,27,14,27,27,16,17,26,26,20,13,9,25,9,12,20,24,19,28,27,5,28,28,28,28,2,10,14,18,11,21
2,1978,STL,DC,28,21,7,23,7,7,23,7,18,25,19,26,6,2,4,14,12,11,13,15,13,18,19,11,20,18,12,7,18,10,9
3,1979,STL,DC,28,23,21,20,13,10,17,25,11,3,4,2,24,9,20,27,20,24,16,21,17,22,14,15,10,7,20,16,20,20,12
4,1980,STL,DC,28,24,17,20,19,22,19,12,13,9,5,6,8,17,25,22,13,26,19,21,16,19,16,17,9,13,23,20,17,18,12
5,1981,STL,DC,28,17,20,25,24,19,18,20,14,9,6,6,17,19,22,24,20,23,23,27,15,14,25,23,27,14,10,16,26,13,20
6,1982,STL,DC,28,10,16,23,22,23,25,2,7,7,10,10,14,26,26,27,1,25,14,12,26,8,12,2,16,14,19,17,25,26,15
7,1983,STL,DC,28,12,15,21,15,17,9,24,11,7,17,8,27,20,24,5,10,19,6,25,4,5,8,25,14,6,20,14,20,3,4
8,1984,STL,DC,28,9,17,8,3,3,4,12,16,9,2,7,25,7,3,5,6,3,8,17,18,5,14,8,22,20,10,9,22,10,13
9,1985,CLE,DC,28,12,27,15,16,21,23,11,8,8,13,9,28,27,25,22,2,11,9,7,27,17,10,11,7,28,14,12,6,19,13
