,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1975,42,Cleveland Browns,NFL,14,3,11,0,.214,-6.8,-2.6,-4.2,,,,,4,
1,1976,43,Cleveland Browns,NFL,14,9,5,0,.643,-1.7,0.7,-2.4,,,,,3,
2,1977,44,Cleveland Browns,NFL,13,6,7,0,.462,2.5,2.4,0.1,,,,,4,
3,1980,47,Cincinnati Bengals,NFL,16,6,10,0,.375,-3.7,-4.5,0.8,,,,,4,
4,1981,48,Cincinnati Bengals,NFL,16,12,4,0,.750,5.5,4.5,1.0,3,2,1,.667,1,AFC Champions
5,1982,49,Cincinnati Bengals,NFL,9,7,2,0,.778,3.6,3.5,0.2,1,0,1,.000,1,
6,1983,50,Cincinnati Bengals,NFL,16,7,9,0,.438,0.5,-1.2,1.7,,,,,3,
7,1984,51,Green Bay Packers,NFL,16,8,8,0,.500,5.0,2.9,2.1,,,,,2,
8,1985,52,Green Bay Packers,NFL,16,8,8,0,.500,0.1,0.1,0.1,,,,,2,
9,1986,53,Green Bay Packers,NFL,16,4,12,0,.250,-9.6,-4.0,-5.6,,,,,4,
10,1987,54,Green Bay Packers,NFL,15,5,9,1,.367,-3.4,-5.3,1.9,,,,,3,
