,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1961,PHI,HC,14,3,12,4,7,1,3,6,13,12,10,10,5,2,1,1,9,1,13,8,12,11,11,6,10,8,7,12,12,13,12
1,1962,PHI,HC,14,12,11,11,10,7,11,9,14,13,9,13,1,3,1,5,13,2,11,9,7,14,13,14,8,11,4,9,5,4,12
2,1963,PHI,HC,14,13,13,12,11,12,12,13,13,12,13,9,7,8,10,5,13,9,10,11,13,12,12,12,13,8,5,9,11,11,10
3,1968,CLE,OC,16,4,1,3,4,2,3,2,9,3,3,2,7,11,4,2,3,1,8,7,1,4,10,6,12,7,16,8,8,1,3
4,1969,CLE,OC,16,4,6,5,7,5,3,9,6,5,1,7,11,11,9,2,10,4,11,9,4,6,13,15,16,2,8,8,8,7,10
5,1970,CLE,OC,26,13,20,12,15,7,13,17,9,18,7,20,10,11,5,11,21,4,22,13,17,13,22,9,25,21,7,14,11,14,18
6,1971,CLE,HC,26,8,18,12,18,18,10,21,15,20,3,24,17,11,9,14,21,11,17,10,8,18,23,15,24,10,6,4,8,8,10
7,1972,CLE,HC,26,5,11,14,19,19,17,5,19,19,15,18,2,18,21,16,13,17,16,9,17,21,24,13,22,8,3,3,9,21,7
8,1973,CLE,HC,26,11,24,14,19,23,18,17,13,13,14,16,16,19,23,20,18,25,11,13,26,18,15,5,14,25,5,9,17,25,14
9,1974,CLE,HC,26,22,14,21,24,20,15,23,17,14,11,6,19,15,23,15,20,23,23,26,4,25,25,18,25,5,2,8,24,5,23
