,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1977,NWE,OC,28,7,21,8,5,11,9,16,3,6,13,15,14,25,14,8,13,3,5,9,23,3,2,5,7,25,15,15,22,17,10
1,1978,NWE,HC,28,4,17,5,2,1,4,22,1,1,1,1,21,17,9,18,19,1,9,13,8,5,4,9,6,3,11,21,23,13,21
2,,NWE,OC,28,4,17,5,2,1,4,22,1,1,1,1,21,17,9,18,19,1,9,13,8,5,4,9,6,3,11,21,23,13,21
3,1979,NWE,HC,28,11,9,3,3,8,2,15,6,15,15,22,11,13,8,1,16,10,3,15,6,3,5,20,7,3,15,8,3,17,3
4,1980,NWE,HC,28,10,14,5,7,10,2,9,4,7,5,21,3,26,12,7,25,1,8,17,16,9,11,8,17,25,8,7,25,11,9
5,1981,NWE,HC,28,27,27,19,18,9,15,26,16,15,3,12,7,17,6,22,28,4,25,22,23,28,28,23,26,14,1,6,10,24,21
6,1982,NYG,OC,28,15,16,11,14,16,17,8,24,24,14,26,14,9,8,16,3,13,7,8,23,22,20,9,10,25,2,6,8,14,11
7,1983,NYG,OC,28,26,27,23,8,15,25,28,16,22,25,25,27,3,8,27,26,18,5,16,17,12,5,3,1,26,12,16,21,12,15
8,1984,NYG,OC,28,9,5,15,14,13,19,2,13,22,19,27,2,9,5,10,10,9,11,8,14,10,9,2,11,10,20,16,12,16,15
9,1985,NYG,OC,28,8,14,4,2,5,6,15,2,4,2,11,14,20,10,11,8,7,2,5,14,2,2,3,3,23,21,4,12,6,1
10,1986,NYG,OC,28,1,6,2,5,10,8,9,5,6,7,11,2,22,17,9,17,12,2,2,4,1,1,4,6,2,26,19,3,7,4
11,1987,NYG,OC,28,19,23,18,12,18,22,24,22,24,28,27,23,13,10,6,21,16,7,13,15,20,13,14,6,16,25,10,5,12,4
12,1988,NYG,OC,28,5,7,9,16,20,8,3,14,23,12,27,10,11,14,8,2,20,11,9,16,9,10,3,10,5,26,18,20,23,5
13,1989,NYG,OC,28,2,9,4,11,20,12,5,2,15,6,26,10,25,20,18,6,11,5,2,11,5,4,7,5,13,8,7,6,8,11
14,1990,NYG,OC,28,2,2,2,6,17,15,1,2,8,7,24,2,27,22,17,1,7,2,1,8,5,4,6,7,20,17,6,2,4,3
15,1992,PIT,OC,28,4,2,9,11,9,15,12,2,4,10,11,24,23,21,20,5,15,13,2,1,12,17,4,23,1,14,8,6,7,10
16,1993,PIT,OC,28,9,3,11,4,7,13,7,5,6,7,9,17,9,13,20,6,21,3,8,3,4,3,1,2,11,17,15,7,2,11
17,1994,PIT,OC,28,2,1,5,5,13,16,1,2,1,5,6,3,24,23,22,1,16,2,2,13,7,7,1,4,7,12,3,1,13,2
18,1995,PIT,OC,30,3,14,6,2,6,5,21,5,12,6,19,13,9,8,15,24,9,3,9,9,3,2,5,6,19,9,6,18,3,9
19,1996,NYJ,OC,30,30,30,30,21,11,27,30,26,23,24,13,28,1,10,12,29,24,27,29,22,30,29,28,24,6,1,19,30,27,28
