,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2006,MIN,DC,32,24,10,22,15,23,26,23,17,16,18,14,16,9,18,30,25,26,8,14,3,1,1,4,1,5,32,31,4,5,18
1,2007,PIT,HC,32,7,12,6,3,17,9,6,3,3,22,7,6,31,22,3,6,14,1,2,22,2,3,1,14,10,14,3,15,30,1
2,2008,PIT,HC,32,2,11,5,2,22,20,15,9,23,11,29,13,20,17,18,16,20,1,1,9,5,2,2,1,18,23,1,2,6,1
3,2009,PIT,HC,32,11,20,14,6,7,12,12,18,19,20,16,17,18,9,7,12,8,5,12,26,4,3,4,5,17,23,16,14,25,8
4,2010,PIT,HC,32,3,2,3,2,14,12,4,8,11,8,18,9,27,14,21,4,5,2,1,3,1,1,1,1,5,29,12,3,5,2
5,2011,PIT,HC,32,5,28,7,1,12,21,20,19,14,15,11,26,19,10,13,17,9,1,1,32,8,8,2,9,30,13,1,2,24,1
6,2012,PIT,HC,32,15,24,14,4,21,22,26,20,26,27,28,27,12,14,8,12,17,1,6,25,6,2,6,4,18,6,1,7,27,2
7,2013,PIT,HC,32,14,20,14,17,20,16,14,25,27,25,29,16,13,12,9,15,12,13,14,27,13,21,27,21,15,18,9,7,29,10
8,2014,PIT,HC,32,6,16,10,4,2,7,10,15,16,21,16,19,6,2,6,5,2,18,18,23,3,6,8,25,16,11,27,28,25,29
9,2015,PIT,HC,32,8,15,7,9,3,4,22,24,16,6,8,2,16,3,16,29,2,21,11,3,6,5,2,6,4,27,30,19,6,17
10,2016,PIT,HC,32,5,9,5,7,7,10,11,16,14,16,15,1,9,5,4,18,8,12,10,14,4,13,18,19,9,23,16,5,15,11
11,2017,PIT,HC,32,1,14,7,3,3,8,11,15,20,15,25,5,6,3,4,23,4,5,7,13,4,10,22,27,23,2,5,8,9,11
12,2018,PIT,HC,32,12,28,11,2,4,6,26,31,31,7,24,15,1,2,5,26,8,6,16,29,7,6,15,9,19,21,10,16,28,7
13,2019,PIT,HC,32,14,7,18,22,30,27,27,20,29,29,30,22,26,31,28,28,27,5,5,1,27,14,1,3,1,4,3,13,2,4
14,2020,PIT,HC,32,4,3,7,12,24,12,9,28,32,27,32,11,1,15,6,9,24,3,3,2,12,11,7,13,12,3,3,5,1,3
15,2021,PIT,HC,32,13,13,22,25,23,21,10,28,29,28,29,17,4,15,16,7,29,24,20,14,26,32,21,32,9,12,9,7,15,9
16,2022,PIT,HC,32,11,9,24,19,23,26,4,10,16,11,25,2,16,24,32,17,25,13,10,14,11,9,1,8,32,9,19,28,1,25
17,2023,PIT,HC,32,10,3,21,25,25,28,2,9,13,11,19,9,29,25,30,4,21,21,6,8,14,19,3,21,8,18,17,17,11,20
18,2024,PIT,HC,32,10,2,13,21,23,16,10,4,11,19,25,24,29,27,20,3,19,12,8,1,6,6,15,5,1,26,25,9,3,18
