Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1979,42,OAK,NFL,16,9,7,0,.563,3.8,3.8,0.0,,,,,4,
1980,43,OAK,NFL,16,11,5,0,.688,4.2,2.9,1.3,4,4,0,1.000,2,Super Bowl Champions
1981,44,OAK,NFL,16,7,9,0,.438,-3.6,-3.6,0.0,,,,,4,
1982,45,RAI,NFL,9,8,1,0,.889,5.2,6.1,-0.9,2,1,1,.500,1,
1983,46,RAI,NFL,16,12,4,0,.750,6.8,5.1,1.7,3,3,0,1.000,1,Super Bowl Champions
1984,47,RAI,NFL,16,11,5,0,.688,6.9,2.1,4.8,1,0,1,.000,3,
1985,48,RAI,NFL,16,12,4,0,.750,4.3,0.7,3.7,1,0,1,.000,1,
1986,49,RAI,NFL,16,8,8,0,.500,0.2,0.0,0.2,,,,,4,
1987,50,RAI,NFL,15,5,10,0,.333,0.0,-1.6,1.7,,,,,4,
1992,55,SEA,NFL,16,2,14,0,.125,-10.0,-9.8,-0.2,,,,,5,
1993,56,SEA,NFL,16,6,10,0,.375,-1.2,-0.8,-0.5,,,,,5,
1994,57,SEA,NFL,16,6,10,0,.375,-3.4,-2.8,-0.6,,,,,5,
