,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1963,BAL,DC,14,7,9,7,5,2,7,7,12,9,10,5,14,2,1,8,1,4,6,7,9,9,9,11,9,6,1,6,6,11,7
1,1964,BAL,DC,14,1,1,1,2,1,1,1,4,5,1,4,2,10,2,6,2,1,3,1,2,5,8,5,10,6,7,2,2,3,2
2,1965,BAL,DC,14,2,8,2,5,5,3,7,5,9,7,10,9,6,3,2,6,4,5,4,6,5,4,3,5,11,10,7,7,6,5
3,1966,STL,HC,15,6,10,6,8,13,11,8,6,9,12,14,13,11,13,12,5,15,1,6,11,2,2,5,1,13,13,3,7,8,3
4,1967,STL,HC,16,9,16,10,6,4,8,16,6,8,6,8,5,7,5,8,16,5,10,12,12,5,5,8,6,9,4,10,14,12,15
5,1968,STL,HC,16,5,14,7,10,7,4,4,6,4,1,5,1,6,11,12,9,9,12,8,15,4,4,5,6,15,11,14,12,15,11
6,1969,STL,HC,16,13,10,12,16,9,5,9,14,15,1,12,1,6,8,12,12,6,16,14,11,9,6,7,6,7,16,16,16,13,15
7,1970,STL,HC,26,10,11,4,5,3,4,13,19,6,1,1,10,13,9,13,10,7,10,5,11,21,16,9,12,17,16,7,11,12,5
8,1973,NYJ,DC,26,21,15,18,16,16,17,19,21,16,25,12,16,8,11,9,20,17,16,17,5,21,20,13,16,3,3,14,21,10,20
9,1974,NYJ,HC,26,11,22,17,16,13,11,13,20,18,16,19,1,14,5,4,20,6,19,24,20,24,24,24,20,24,8,10,13,16,18
10,1975,NYJ,HC,26,22,21,24,25,14,14,20,12,11,12,8,1,13,16,13,25,16,26,26,22,24,26,25,25,20,1,25,26,21,26
