Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1981,WAS,OC,28,13,16,16,12,9,10,15,12,12,7,16,16,7,10,18,13,11,10,16,13,19,21,17,17,22,3,9,12,9,22
1982,WAS,OC,28,1,2,5,6,7,12,2,5,10,21,17,3,24,12,8,3,5,4,1,11,5,8,12,14,3,11,7,3,20,7
1983,WAS,OC,28,1,1,1,3,3,1,1,1,3,1,12,1,19,7,5,2,2,12,11,1,1,1,1,7,2,28,28,24,1,22
1984,WAS,OC,28,5,4,4,17,9,3,3,2,4,4,17,10,21,19,9,2,14,18,11,4,2,2,14,19,3,26,25,20,10,17
1985,WAS,OC,28,8,21,17,4,14,20,17,3,2,4,6,18,13,23,26,11,26,3,11,21,3,8,8,13,27,3,1,10,9,7
1986,WAS,OC,28,3,17,8,8,5,9,9,14,17,2,22,2,10,6,9,17,4,21,9,24,8,14,15,16,27,17,20,11,17,18
1987,WAS,OC,28,3,16,4,8,3,4,18,9,7,3,5,20,17,4,4,11,2,18,6,15,8,10,9,12,24,27,24,8,6,11
1988,WAS,OC,28,17,28,17,8,6,10,26,25,25,26,26,27,2,2,1,25,4,16,26,27,6,9,17,12,28,11,22,23,27,24
1989,WAS,OC,28,6,12,9,2,2,5,17,8,14,12,19,26,4,1,7,9,3,9,13,3,3,2,3,1,13,19,21,23,2,15
1990,PHO,HC,28,23,22,26,19,18,24,13,17,12,14,9,10,22,19,20,13,15,18,24,22,26,26,24,23,20,2,8,25,17,24
1991,PHO,HC,28,22,14,24,27,27,27,21,21,26,26,25,11,18,26,27,25,26,16,22,5,24,26,28,26,2,5,7,1,14,19
1992,PHO,HC,28,25,26,23,19,17,24,26,23,26,13,19,24,6,13,20,24,19,24,20,25,13,10,16,8,18,7,27,25,19,28
1993,PHO,HC,28,18,21,8,14,8,9,14,14,11,10,13,8,14,9,8,21,9,21,7,20,12,19,20,25,4,10,19,4,27,23
1995,OAK,OC,30,14,16,12,10,11,15,21,14,8,19,7,13,16,16,12,24,12,11,10,12,15,17,20,19,2,7,10,1,29,11
1996,OAK,OC,30,19,21,9,7,8,12,16,16,3,27,1,11,17,23,3,17,26,8,8,22,19,15,5,9,26,10,7,16,16,12
1997,OAK,HC,30,26,18,26,30,13,17,13,30,23,22,6,19,16,8,3,3,10,30,28,26,30,30,30,24,18,23,30,15,28,30
