,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1960,DTX,HC,8,3,1,1,1,5,4,1,1,2,1,3,5,8,6,8,1,3,2,1,3,1,1,2,2,5,7,3,1,2,2
1,1961,DTX,HC,8,5,5,4,3,2,4,6,2,1,2,1,5,8,4,4,4,3,5,5,5,5,4,4,3,3,4,4,3,5,4
2,1962,DTX,HC,8,1,1,1,1,2,1,1,2,2,1,1,3,8,5,2,2,2,1,1,3,1,1,4,1,4,7,6,1,3,2
3,1963,KAN,HC,8,6,3,2,5,5,3,2,3,3,4,3,5,6,5,2,1,6,5,3,3,5,5,3,3,2,4,3,2,5,6
4,1964,KAN,HC,8,4,3,3,2,4,2,4,2,2,2,2,8,7,6,1,1,3,2,4,3,3,3,2,3,2,3,2,7,6,4
5,1965,KAN,HC,8,4,6,4,2,3,2,4,3,3,2,1,8,8,5,3,2,2,2,4,7,3,4,6,5,4,4,2,3,8,2
6,1966,KAN,HC,9,1,2,1,1,1,1,2,3,1,1,1,8,9,6,1,1,1,2,2,2,2,3,3,4,7,8,4,3,1,2
7,1967,KAN,HC,9,3,1,2,3,4,2,1,2,2,2,2,2,7,4,3,2,4,4,3,1,1,3,3,6,1,8,5,2,1,5
8,1968,KAN,HC,10,1,1,2,5,4,4,2,1,1,2,3,8,10,7,4,1,1,4,1,1,1,2,1,2,7,10,9,3,1,4
9,1969,KAN,HC,10,2,3,1,1,3,2,7,1,1,1,2,8,8,6,7,3,4,1,1,1,1,1,1,1,5,8,1,1,1,1
10,1970,KAN,HC,26,11,5,11,16,22,15,11,13,8,12,7,15,26,25,17,8,18,6,8,3,9,11,9,15,21,23,4,8,1,3
11,1971,KAN,HC,26,3,8,5,7,9,8,4,8,12,9,18,7,18,7,10,4,7,7,5,16,3,3,7,7,26,25,24,5,3,11
12,1972,KAN,HC,26,10,4,13,17,17,15,11,13,16,24,15,10,4,18,5,14,20,15,13,3,12,11,10,10,3,23,18,15,5,13
13,1973,KAN,HC,26,11,6,11,13,20,19,11,11,19,16,24,20,17,19,20,6,18,7,5,4,11,9,10,12,6,7,4,5,5,5
14,1974,KAN,HC,26,19,6,19,20,16,18,21,15,17,21,18,10,6,15,20,23,19,25,21,2,18,12,15,8,5,22,25,24,1,24
15,1976,NOR,HC,28,21,7,22,23,21,17,9,26,23,9,13,15,5,17,27,7,23,19,23,9,21,21,25,18,1,13,17,20,20,16
16,1977,NOR,HC,28,24,21,24,25,21,15,12,20,13,12,6,4,20,23,17,13,23,25,26,26,27,27,25,27,14,2,10,18,27,26
