Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
atl,285,4542.0,931.0,4.9,35.0,16,273.0,278,509,3346,22,19,6.0,179.0,373,1196,9,3.2,68.0,110,968,26.0,184.0,25.0,17.4,30.2,2.5,5.17,24.6,1.42,196.0,68.0,0.34700000000000003,14.0,5.0,0.35700000000000004,42.0,22.0,0.524
buf,320,5333.0,1059.0,5.0,27.0,11,313.0,290,513,3293,21,16,6.1,173.0,519,2040,12,3.9,117.0,97,789,23.0,190.0,30.5,14.2,32.9,2.7333333333333334,5.75,28.0,1.61,228.0,93.0,0.408,21.0,11.0,0.524,52.0,24.0,0.462
car,421,5686.0,982.0,5.8,34.0,19,307.0,345,575,4161,36,15,6.6,208.0,356,1525,12,4.3,78.0,106,857,21.0,192.0,38.0,15.1,32.7,2.45,5.26,29.6,2.14,201.0,77.0,0.38299999999999995,20.0,10.0,0.5,49.0,27.0,0.551
chi,272,5523.0,1118.0,4.9,37.0,15,302.0,404,684,4136,25,22,5.7,203.0,396,1387,4,3.5,82.0,117,915,17.0,205.0,23.4,17.6,32.5,2.3166666666666664,5.62,26.7,1.27,247.0,91.0,0.368,27.0,11.0,0.40700000000000003,48.0,17.0,0.354
cin,283,5277.0,1039.0,5.1,32.0,14,293.0,300,548,3226,18,18,5.4,161.0,442,2051,11,4.6,111.0,126,1027,21.0,193.0,24.4,13.5,29.6,2.4833333333333334,5.52,27.1,1.33,235.0,93.0,0.396,23.0,7.0,0.304,54.0,23.0,0.426
cle,217,3762.0,865.0,4.3,31.0,16,220.0,271,492,2612,19,15,4.7,134.0,313,1150,9,3.7,64.0,92,714,22.0,184.0,19.6,12.5,29.0,2.0833333333333335,4.77,20.3,1.2,203.0,59.0,0.29100000000000004,13.0,9.0,0.6920000000000001,28.0,20.0,0.7140000000000001
clt,423,5726.0,979.0,5.8,28.0,11,327.0,338,546,4066,26,17,7.3,200.0,419,1660,15,4.0,89.0,81,683,38.0,186.0,40.9,15.1,31.0,2.6166666666666667,5.47,30.7,2.13,186.0,73.0,0.392,6.0,2.0,0.33299999999999996,60.0,27.0,0.45
crd,245,4010.0,999.0,4.0,40.0,10,254.0,287,558,2803,11,30,4.6,150.0,396,1207,13,3.0,77.0,70,481,27.0,207.0,20.8,18.8,30.0,2.1,4.96,19.3,1.09,221.0,72.0,0.326,17.0,4.0,0.235,42.0,21.0,0.5
dal,352,5178.0,1024.0,5.1,23.0,10,295.0,295,507,3127,20,13,5.9,139.0,493,2051,16,4.2,129.0,136,1196,27.0,196.0,27.6,11.7,33.2,2.6166666666666667,5.38,26.2,1.56,219.0,77.0,0.35200000000000004,17.0,6.0,0.353,48.0,25.0,0.521
den,314,5283.0,1053.0,5.0,28.0,10,308.0,319,554,3419,16,18,5.8,168.0,465,1864,13,4.0,107.0,114,872,33.0,194.0,29.9,13.9,30.1,2.6,5.61,26.9,1.49,229.0,84.0,0.36700000000000005,14.0,6.0,0.429,46.0,19.0,0.413
