Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2011,DEN,DC,32,13,26,25,27,23,25,25,1,1,19,6,32,32,31,18,8,29,20,24,28,27,22,15,13,19,14,18,16,28,21
2012,OAK,HC,32,28,23,29,17,18,26,17,28,28,31,27,17,5,8,13,18,16,18,28,26,21,18,28,20,22,7,20,23,23,26
2013,OAK,HC,32,26,27,29,24,23,24,26,16,12,7,6,25,25,24,29,24,18,22,29,21,18,13,23,11,3,13,28,30,31,28
2014,OAK,HC,32,29,32,32,30,32,31,26,32,32,32,27,25,4,26,17,19,31,21,32,30,29,22,28,8,30,7,16,25,27,25
2015,NOR,DC,32,17,15,22,18,2,8,11,20,24,6,27,7,2,1,10,11,4,31,32,19,19,31,20,32,4,9,31,32,26,32
2016,NOR,DC,32,21,23,17,3,1,2,19,19,16,6,13,13,2,1,2,18,4,27,31,17,11,14,28,15,6,19,32,20,27,31
2017,NOR,DC,32,5,9,6,5,2,4,9,13,5,1,2,19,19,5,16,2,1,17,10,9,9,16,13,28,29,17,15,12,3,16
2018,NOR,DC,32,1,7,1,10,8,3,3,5,7,1,17,15,23,12,7,2,4,14,14,13,4,2,10,2,4,22,29,22,18,28
2019,NOR,DC,32,2,2,5,7,9,3,1,17,16,20,18,1,13,7,2,3,9,11,13,10,2,4,9,17,10,30,20,21,12,10
2020,NOR,DC,32,4,3,2,2,12,5,7,5,6,1,10,18,25,19,11,5,10,4,5,3,5,4,2,4,15,16,5,16,1,5
2021,NOR,DC,32,14,8,14,21,28,19,6,4,15,24,28,2,30,32,11,11,20,7,4,10,9,4,6,1,20,17,14,3,6,12
2022,NOR,HC,32,20,31,17,10,19,22,27,14,19,22,22,24,26,16,16,17,7,5,9,30,25,24,14,20,23,7,2,3,30,3
2023,NOR,HC,32,13,3,7,14,14,9,6,10,21,18,31,9,9,11,8,10,16,13,8,4,17,22,4,22,8,11,10,16,3,12
2024,NOR,HC,32,23,16,22,29,21,24,11,21,14,15,14,7,16,23,20,16,20,30,19,20,24,31,24,31,30,27,27,4,11,24
