,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1946,CLE,HC,8,1,1,1,1,1,1,1,6,3,1,2,7,8,1,1,1,1,2,1,1,7,4,2,3,4,7,1,1,1,1
1,1947,CLE,HC,8,1,1,1,1,1,1,1,6,3,2,2,3,5,1,1,1,1,2,1,1,4,4,3,4,5,5,1,1,1,1
2,1948,CLE,HC,8,1,2,2,1,3,2,1,2,3,3,3,1,4,2,2,3,2,1,1,4,1,1,1,1,4,5,2,1,4,1
3,1949,CLE,HC,7,1,1,2,2,2,2,1,5,5,2,4,5,3,1,2,1,1,3,1,3,4,4,3,4,7,5,1,1,2,1
4,1950,CLE,HC,13,1,2,1,3,6,4,2,6,4,4,2,1,11,9,6,2,6,1,2,1,8,4,3,3,2,3,1,1,2,2
5,1951,CLE,HC,12,1,1,1,2,8,3,3,9,8,3,6,10,10,6,4,1,3,2,1,2,4,2,1,3,1,7,3,1,5,1
6,1952,CLE,HC,12,3,5,3,1,1,3,3,10,3,5,1,2,1,1,3,8,3,1,2,10,4,3,7,3,11,9,3,6,7,1
7,1953,CLE,HC,12,1,1,1,4,4,4,1,9,7,4,6,4,11,2,5,1,1,6,1,6,3,5,5,9,7,12,6,2,6,4
8,1954,CLE,HC,12,2,5,1,1,5,2,6,1,3,3,8,7,11,5,8,4,2,1,1,6,4,1,1,1,4,2,1,6,7,2
9,1955,CLE,HC,12,1,2,1,1,3,1,2,1,2,1,8,5,12,5,1,1,1,1,1,5,1,1,4,2,8,7,3,6,4,2
10,1956,CLE,HC,12,7,9,5,6,9,11,4,6,7,11,9,6,12,12,10,3,10,2,1,11,6,9,4,10,10,1,1,1,5,1
11,1957,CLE,HC,12,1,4,1,1,5,3,1,1,2,1,6,1,12,10,6,3,1,2,1,8,3,4,4,5,9,4,1,1,4,2
12,1958,CLE,HC,12,1,3,2,5,5,3,1,2,1,1,1,1,12,12,12,3,2,5,3,8,3,4,1,5,4,4,9,7,7,8
13,1959,CLE,HC,12,4,2,3,5,4,3,1,1,1,1,2,1,10,7,7,1,6,6,3,8,2,2,2,5,10,7,10,7,6,10
14,1960,CLE,HC,13,2,1,1,6,5,1,2,8,3,3,1,6,13,6,3,1,4,8,4,1,9,9,6,6,5,8,10,5,1,9
15,1961,CLE,HC,14,4,4,5,6,7,6,3,2,2,7,5,10,13,8,8,1,4,7,5,10,3,4,10,5,5,4,10,3,11,9
16,1962,CLE,HC,14,6,3,4,6,11,9,2,10,7,3,5,8,10,9,11,2,9,3,3,10,12,9,7,10,11,2,2,4,7,4
17,1968,CIN,HC,10,9,5,7,9,8,9,1,6,3,5,2,3,9,9,9,1,8,8,6,10,8,9,5,9,10,5,6,9,10,6
18,1969,CIN,HC,10,7,6,8,10,7,6,6,10,7,8,3,10,10,7,3,1,3,10,10,7,9,10,6,10,5,4,7,9,6,9
19,1970,CIN,HC,26,12,3,9,20,16,7,1,10,4,3,3,5,22,21,19,3,19,20,9,5,9,9,14,11,5,24,25,16,6,19
20,1971,CIN,HC,26,24,2,11,8,6,11,1,14,6,9,3,4,13,14,10,2,18,12,9,11,10,13,10,11,20,5,13,22,3,15
21,1972,CIN,HC,26,10,12,9,3,9,13,7,12,14,11,13,20,4,9,21,2,13,3,5,17,3,12,7,21,24,15,4,5,11,1
22,1973,CIN,HC,26,4,6,10,5,5,11,2,10,7,12,6,8,13,8,7,3,3,8,11,10,7,8,17,8,14,15,13,3,11,11
23,1974,CIN,HC,26,11,23,11,6,4,10,10,19,12,11,2,24,20,4,7,4,4,11,13,26,17,22,15,24,19,10,4,8,26,3
24,1975,CIN,HC,26,4,5,7,6,2,9,8,13,17,6,23,22,6,1,4,4,2,7,6,2,6,18,12,24,3,14,2,3,10,3
